Episodio: 82, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9690, Recompensa: 573.70
Episodio: 83, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9689, Recompensa: 599.90
Episodio: 84, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9688, Recompensa: 552.20
Episodio: 85, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9686, Recompensa: 824.60
Episodio: 86, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9685, Recompensa: 537.00
Episodio: 87, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9684, Recompensa: 1340.40
Episodio: 88, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9681, Recompensa: 1073.80
Episodio: 89, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9680, Recompensa: 536.00
Episodio: 90, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9679, Recompensa: 512.90
Episodio: 91, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9678, Recompensa: 563.70
Episodio: 92, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9678, Recompensa: 530.00
Episodio: 93, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9677, Recompensa: 506.00
Episodio: 94, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9676, Recompensa: 501.00
Episodio: 95, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9675, Recompensa: 591.40
Episodio: 96, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9674, Recompensa: 500.00
Episodio: 97, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9673, Recompensa: 466.00
Episodio: 98, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9672, Recompensa: 566.00
Episodio: 99, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9672, Recompensa: 492.00
Episodio: 100, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9671, Recompensa: 558.90
Episodio: 101, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9670, Recompensa: 482.00
Episodio: 102, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9669, Recompensa: 449.40
Episodio: 103, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9666, Recompensa: 1285.80
Episodio: 104, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9628, Recompensa: -15213.10
Episodio: 105, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9603, Recompensa: -6180.70
Episodio: 106, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9603, Recompensa: 491.00
Episodio: 107, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9602, Recompensa: 550.40
Episodio: 108, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9601, Recompensa: 767.00
Episodio: 109, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9600, Recompensa: 495.30
Episodio: 110, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9598, Recompensa: 568.00
Episodio: 111, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9597, Recompensa: 438.20
Episodio: 112, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9593, Recompensa: -17.80
Episodio: 113, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9592, Recompensa: 519.20
Episodio: 114, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9568, Recompensa: -5553.10
Episodio: 115, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9567, Recompensa: 613.40
Episodio: 116, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9556, Recompensa: -556.10
Episodio: 117, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9552, Recompensa: 264.80
Episodio: 118, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9551, Recompensa: 646.00
Episodio: 119, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9549, Recompensa: 1214.00
Episodio: 120, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9545, Recompensa: 1137.30
Episodio: 121, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9544, Recompensa: 495.20
Episodio: 122, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9511, Recompensa: -10517.70
Episodio: 123, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9510, Recompensa: 683.00
Episodio: 124, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9509, Recompensa: 635.40
Episodio: 125, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9490, Recompensa: -2788.80
Episodio: 126, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9489, Recompensa: 552.90
Episodio: 127, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9485, Recompensa: 410.40
Episodio: 128, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9484, Recompensa: 707.40
Episodio: 129, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9482, Recompensa: 790.00
Episodio: 130, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9482, Recompensa: 689.00
Episodio: 131, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9480, Recompensa: 641.40
Episodio: 132, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9478, Recompensa: 930.00
Episodio: 133, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9477, Recompensa: 650.40
Episodio: 134, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9458, Recompensa: -5593.00
Episodio: 135, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9457, Recompensa: 662.00
Episodio: 136, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9457, Recompensa: 533.00
Episodio: 137, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9455, Recompensa: 518.50
Episodio: 138, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9455, Recompensa: 527.00
Episodio: 139, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9453, Recompensa: 919.50
Episodio: 140, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9446, Recompensa: -532.40
Episodio: 141, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9445, Recompensa: 557.00
Episodio: 142, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9444, Recompensa: 587.90
Episodio: 143, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9441, Recompensa: 824.90
