Episodio: 30150, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 465.00
Episodio: 30151, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 621.00
Episodio: 30152, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 456.00
Episodio: 30153, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1126.90
Episodio: 30154, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 500.00
Episodio: 30155, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 635.00
Episodio: 30156, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 962.10
Episodio: 30157, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 696.00
Episodio: 30158, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 600.00
Episodio: 30159, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 991.00
Episodio: 30160, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 630.00
Episodio: 30161, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1889.90
Episodio: 30162, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1931.80
Episodio: 30163, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 632.00
Episodio: 30164, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 2327.10
Episodio: 30165, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 749.00
Episodio: 30166, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 839.90
Episodio: 30167, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1169.00
Episodio: 30168, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1066.70
Episodio: 30169, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 454.00
Episodio: 30170, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1109.00
Episodio: 30171, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 631.00
Episodio: 30172, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 463.00
Episodio: 30173, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 450.90
Episodio: 30174, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1225.00
Episodio: 30175, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1000.00
Episodio: 30176, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 633.00
Episodio: 30177, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 645.00
