Episodio: 265, Reward: 233.00, Epsilon: 0.8566
Episodio: 266, Reward: 249.00, Epsilon: 0.8566
Episodio: 267, Reward: 1536.00, Epsilon: 0.8560
Episodio: 268, Reward: 1287.00, Epsilon: 0.8553
Episodio: 269, Reward: 242.00, Epsilon: 0.8552
Episodio: 270, Reward: 618.00, Epsilon: 0.8548
Episodio: 271, Reward: 724.00, Epsilon: 0.8546
Episodio: 272, Reward: 632.00, Epsilon: 0.8543
Episodio: 273, Reward: 614.00, Epsilon: 0.8540
Episodio: 274, Reward: 582.00, Epsilon: 0.8537
Episodio: 275, Reward: 226.00, Epsilon: 0.8536
Episodio: 276, Reward: 238.00, Epsilon: 0.8536
Episodio: 277, Reward: 204.00, Epsilon: 0.8535
Episodio: 278, Reward: 614.00, Epsilon: 0.8530
Episodio: 279, Reward: 216.00, Epsilon: 0.8529
Episodio: 280, Reward: 631.00, Epsilon: 0.8526
Episodio: 281, Reward: 228.00, Epsilon: 0.8525
Episodio: 282, Reward: 250.00, Epsilon: 0.8525
Episodio: 283, Reward: 855.00, Epsilon: 0.8507
Episodio: 284, Reward: 584.00, Epsilon: 0.8502
Episodio: 285, Reward: 581.00, Epsilon: 0.8500
Episodio: 286, Reward: 229.00, Epsilon: 0.8499
Episodio: 287, Reward: 720.00, Epsilon: 0.8495
Episodio: 288, Reward: 224.00, Epsilon: 0.8495
Episodio: 289, Reward: 778.00, Epsilon: 0.8490
Episodio: 290, Reward: 589.00, Epsilon: 0.8488
Episodio: 291, Reward: 954.00, Epsilon: 0.8477
Episodio: 292, Reward: 926.00, Epsilon: 0.8464
Episodio: 293, Reward: 756.00, Epsilon: 0.8456
Episodio: 294, Reward: 857.00, Epsilon: 0.8438
Episodio: 295, Reward: 1178.00, Epsilon: 0.8422
Episodio: 296, Reward: 589.00, Epsilon: 0.8420
Episodio: 297, Reward: 212.00, Epsilon: 0.8419
Episodio: 298, Reward: 939.00, Epsilon: 0.8407
Episodio: 299, Reward: 578.00, Epsilon: 0.8405
Episodio: 300, Reward: 617.00, Epsilon: 0.8403
Episodio: 301, Reward: 234.00, Epsilon: 0.8402
Episodio: 302, Reward: 597.00, Epsilon: 0.8399
Episodio: 303, Reward: 201.00, Epsilon: 0.8398
Episodio: 304, Reward: 663.00, Epsilon: 0.8392
Episodio: 305, Reward: 992.00, Epsilon: 0.8386
Episodio: 306, Reward: 205.00, Epsilon: 0.8385
Episodio: 307, Reward: 230.00, Epsilon: 0.8384
Episodio: 308, Reward: 601.00, Epsilon: 0.8382
Episodio: 309, Reward: 185.00, Epsilon: 0.8381
Episodio: 310, Reward: 229.00, Epsilon: 0.8380
Episodio: 311, Reward: 727.00, Epsilon: 0.8371
Episodio: 312, Reward: 603.00, Epsilon: 0.8366
Episodio: 313, Reward: 608.00, Epsilon: 0.8363
Episodio: 314, Reward: 613.00, Epsilon: 0.8361
Episodio: 315, Reward: 709.00, Epsilon: 0.8350
Episodio: 316, Reward: 1005.00, Epsilon: 0.8345
Episodio: 317, Reward: 225.00, Epsilon: 0.8344
Episodio: 318, Reward: 247.00, Epsilon: 0.8344
Episodio: 319, Reward: 597.00, Epsilon: 0.8342
Episodio: 320, Reward: 433.00, Epsilon: 0.8313
Episodio: 321, Reward: 592.00, Epsilon: 0.8311
Episodio: 322, Reward: 708.00, Epsilon: 0.8282
Episodio: 323, Reward: 633.00, Epsilon: 0.8280
Episodio: 324, Reward: 195.00, Epsilon: 0.8279
Episodio: 325, Reward: 648.00, Epsilon: 0.8277
Episodio: 326, Reward: 223.00, Epsilon: 0.8277
Episodio: 327, Reward: 953.00, Epsilon: 0.8267
Episodio: 328, Reward: 572.00, Epsilon: 0.8264
Episodio: 329, Reward: 1221.00, Epsilon: 0.8253
Episodio: 330, Reward: 762.00, Epsilon: 0.8246
Episodio: 331, Reward: 623.00, Epsilon: 0.8242
Episodio: 332, Reward: 723.00, Epsilon: 0.8234
Episodio: 333, Reward: 590.00, Epsilon: 0.8231
Episodio: 334, Reward: 214.00, Epsilon: 0.8231
Episodio: 335, Reward: 587.00, Epsilon: 0.8229
Episodio: 336, Reward: 526.00, Epsilon: 0.8210
Episodio: 337, Reward: 243.00, Epsilon: 0.8210
Episodio: 338, Reward: 1000.00, Epsilon: 0.8199
Episodio: 339, Reward: 732.00, Epsilon: 0.8190
Episodio: 340, Reward: 245.00, Epsilon: 0.8190
Episodio: 341, Reward: 596.00, Epsilon: 0.8188
Episodio: 342, Reward: 950.00, Epsilon: 0.8178
Episodio: 343, Reward: 695.00, Epsilon: 0.8172
Episodio: 344, Reward: 850.00, Epsilon: 0.8152
Episodio: 345, Reward: 212.00, Epsilon: 0.8151
Episodio: 346, Reward: 1321.00, Epsilon: 0.8147
Episodio: 347, Reward: 971.00, Epsilon: 0.8140
Episodio: 348, Reward: 791.00, Epsilon: 0.8136
Episodio: 349, Reward: 634.00, Epsilon: 0.8133
Episodio: 350, Reward: 245.00, Epsilon: 0.8132
Episodio: 351, Reward: 593.00, Epsilon: 0.8130
Episodio: 352, Reward: 941.00, Epsilon: 0.8119
Episodio: 353, Reward: 965.00, Epsilon: 0.8109
Episodio: 354, Reward: 700.00, Epsilon: 0.8097
Episodio: 355, Reward: 857.00, Epsilon: 0.8080
Episodio: 356, Reward: 220.00, Epsilon: 0.8079
Episodio: 357, Reward: 905.00, Epsilon: 0.8065
Episodio: 358, Reward: 601.00, Epsilon: 0.8064
Episodio: 359, Reward: 976.00, Epsilon: 0.8057
Episodio: 360, Reward: 207.00, Epsilon: 0.8056
Episodio: 361, Reward: 637.00, Epsilon: 0.8053
Episodio: 362, Reward: 1370.00, Epsilon: 0.8046
Episodio: 363, Reward: 747.00, Epsilon: 0.8038
Episodio: 364, Reward: 249.00, Epsilon: 0.8037
Episodio: 365, Reward: 944.00, Epsilon: 0.8027
Episodio: 366, Reward: 1000.00, Epsilon: 0.8021
Episodio: 367, Reward: 651.00, Epsilon: 0.8020
Episodio: 368, Reward: 237.00, Epsilon: 0.8019
Episodio: 369, Reward: 596.00, Epsilon: 0.8016
Episodio: 370, Reward: 701.00, Epsilon: 0.8011
Episodio: 371, Reward: 1274.00, Epsilon: 0.8005
Episodio: 372, Reward: 766.00, Epsilon: 0.7999
Episodio: 373, Reward: 223.00, Epsilon: 0.7998
Episodio: 374, Reward: 1005.00, Epsilon: 0.7993
Episodio: 375, Reward: 577.00, Epsilon: 0.7990
Episodio: 376, Reward: 592.00, Epsilon: 0.7988
