Episodio: 34082, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5481232776281758, Recompensa: 174.90
Episodio: 34083, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5481163282351067, Recompensa: 647.00
Episodio: 34084, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5481140117903299, Recompensa: 219.00
Episodio: 34085, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5481100106815014, Recompensa: 559.00
Episodio: 34086, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5481064307667806, Recompensa: 313.90
Episodio: 34087, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5481030614566378, Recompensa: 322.10
Episodio: 34088, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5480977969510036, Recompensa: 430.90
Episodio: 34089, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5480841094729991, Recompensa: 528.40
Episodio: 34090, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.548081161445553, Recompensa: 211.00
Episodio: 34091, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.548070632905545, Recompensa: 1073.00
Episodio: 34092, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5480569461058997, Recompensa: -15.10
Episodio: 34093, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5480550510375035, Recompensa: 240.00
Episodio: 34094, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5480350479373998, Recompensa: -237.20
Episodio: 34095, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5480321001738452, Recompensa: 226.00
Episodio: 34096, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5479967282478855, Recompensa: -1790.20
Episodio: 34097, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5479925174563941, Recompensa: 553.00
Episodio: 34098, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5479891488464972, Recompensa: 315.70
Episodio: 34099, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5479857802573076, Recompensa: 201.80
Episodio: 34100, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5479834643642517, Recompensa: 234.00
Episodio: 34101, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5479779904741173, Recompensa: 608.00
Episodio: 34102, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5479643059880033, Recompensa: 354.00
Episodio: 34103, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5479529375978842, Recompensa: 355.20
Episodio: 34104, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5479495692312919, Recompensa: 312.50
Episodio: 34105, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5479457798436256, Recompensa: 400.00
Episodio: 34106, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5478489488282725, Recompensa: -15556.30
Episodio: 34107, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5478453706186458, Recompensa: 306.20
Episodio: 34108, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5478417924323897, Recompensa: 242.70
Episodio: 34109, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5478390561880806, Recompensa: 210.50
Episodio: 34110, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5478352675646758, Recompensa: 399.00
Episodio: 34111, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.547831058013844, Recompensa: 228.90
Episodio: 34112, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.547827479921069, Recompensa: 250.70
Episodio: 34113, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5478241123256877, Recompensa: 116.50
Episodio: 34114, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5478087479344466, Recompensa: -532.50
Episodio: 34115, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5477235149604177, Recompensa: -3576.70
Episodio: 34116, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5477207793068558, Recompensa: 244.00
Episodio: 34117, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5477140454486069, Recompensa: 647.90
Episodio: 34118, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5477077325316871, Recompensa: 507.20
Episodio: 34119, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5476637545629598, Recompensa: -1133.20
Episodio: 34120, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5476605983852302, Recompensa: 326.00
