Episodio: 60091, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3833875030934257, Recompensa: 237.00
Episodio: 60092, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3833855882306167, Recompensa: 259.70
Episodio: 60093, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38338352608136433, Recompensa: 270.00
Episodio: 60094, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38338116935294353, Recompensa: 200.50
Episodio: 60095, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38337954911055794, Recompensa: 252.00
Episodio: 60096, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38337733970015825, Recompensa: 320.00
Episodio: 60097, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3833552462964525, Recompensa: -3080.70
Episodio: 60098, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38333948711318905, Recompensa: -2295.40
Episodio: 60099, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3833358051543902, Recompensa: 700.00
Episodio: 60100, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3833256431316068, Recompensa: -155.30
Episodio: 60101, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38332137221692814, Recompensa: 630.00
Episodio: 60102, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3833200467703241, Recompensa: 253.00
Episodio: 60103, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38331651226845304, Recompensa: 346.90
Episodio: 60104, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38331430322133364, Recompensa: 223.00
Episodio: 60105, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3833066452898831, Recompensa: 483.20
Episodio: 60106, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3833041417685546, Recompensa: 260.00
Episodio: 60107, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38329162440718195, Recompensa: 1152.80
Episodio: 60108, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3832900045432305, Recompensa: 218.00
Episodio: 60109, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3832879429081024, Recompensa: 352.00
Episodio: 60110, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3832860285425556, Recompensa: 269.00
Episodio: 60111, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38326717991540477, Recompensa: -1204.00
Episodio: 60112, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38326556015476043, Recompensa: 280.00
Episodio: 60113, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38326335140127726, Recompensa: 371.00
Episodio: 60114, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3832553999941336, Recompensa: 687.50
Episodio: 60115, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38325054088208876, Recompensa: 617.40
Episodio: 60116, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3832490684360563, Recompensa: 246.00
Episodio: 60117, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3832462708041799, Recompensa: 251.50
Episodio: 60118, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38323890871261584, Recompensa: 239.90
Episodio: 60119, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38323684735232133, Recompensa: 314.70
Episodio: 60120, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38323537495889937, Recompensa: 249.00
Episodio: 60121, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3832247738932516, Recompensa: 952.80
Episodio: 60122, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.383221240269869, Recompensa: 637.00
Episodio: 60123, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3832101979068024, Recompensa: 510.30
Episodio: 60124, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38320872561576746, Recompensa: 244.00
Episodio: 60125, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3832050449129273, Recompensa: 627.00
Episodio: 60126, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3832013642454398, Recompensa: 563.00
Episodio: 60127, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3831997447629452, Recompensa: 238.00
Episodio: 60128, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38319738916426155, Recompensa: 253.90
Episodio: 60129, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3831959169224377, Recompensa: 219.00
Episodio: 60130, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3831932669014086, Recompensa: 382.40
Episodio: 60131, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38319150023090376, Recompensa: 271.50
Episodio: 60132, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3831898807900963, Recompensa: 222.00
Episodio: 60133, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38318811413520293, Recompensa: 211.40
Episodio: 60134, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38318590582803996, Recompensa: 212.20
Episodio: 60135, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3831845808498508, Recompensa: 251.00
Episodio: 60136, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3831809003789199, Recompensa: 685.00
Episodio: 60137, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38317265625231495, Recompensa: 1342.40
Episodio: 60138, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3831707424625775, Recompensa: 330.00
Episodio: 60139, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38315852387650895, Recompensa: 379.90
Episodio: 60140, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38315204671179737, Recompensa: -359.80
Episodio: 60141, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.383149985818715, Recompensa: 328.70
Episodio: 60142, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3831448336345063, Recompensa: 592.00
Episodio: 60143, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38314247837337145, Recompensa: 329.00
Episodio: 60144, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38313717908875383, Recompensa: 575.10
Episodio: 60145, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38313349907311467, Recompensa: 351.10
Episodio: 60146, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38312849430856927, Recompensa: 130.70
Episodio: 60147, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3831259919508126, Recompensa: 363.00
Episodio: 60148, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3831237840016588, Recompensa: 367.00
Episodio: 60149, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38312187045601814, Recompensa: 342.00
